,idproc,descproc,percentile,nbproc,perf
0,/s/2+x+AMD+EPYC+7713+64-Core,2 x AMD EPYC 7713 64-Core,100th,11,436015 +/- 15435
1,/s/2+x+Intel+Xeon+Platinum+8380,2 x Intel Xeon Platinum 8380,100th,6,350252 +/- 6438
2,/s/2+x+AMD+EPYC+75F3+32-Core,2 x AMD EPYC 75F3 32-Core,100th,8,340262 +/- 12985
3,/s/AMD+EPYC+7763+64-Core,AMD EPYC 7763 64-Core,100th,10,324017 +/- 27624
4,/s/2+x+AMD+EPYC+7642+48-Core,2 x AMD EPYC 7642 48-Core,100th,4,320895 +/- 6877
5,/s/AMD+EPYC+7713+64-Core,AMD EPYC 7713 64-Core,100th,12,292374 +/- 10355
6,/s/2+x+AMD+EPYC+7443+24-Core,2 x AMD EPYC 7443 24-Core,100th,4,282663 +/- 4407
7,/s/AMD+EPYC+7662+64-Core,AMD EPYC 7662 64-Core,100th,12,267323 +/- 4073
8,/s/AMD+EPYC+7702+64-Core,AMD EPYC 7702 64-Core,100th,12,262153 +/- 4091
9,/s/2+x+AMD+EPYC+7502+32-Core,2 x AMD EPYC 7502 32-Core,100th,8,255912 +/- 2053
10,/s/2+x+Intel+Xeon+Platinum+8280,2 x Intel Xeon Platinum 8280,99th,51,241699 +/- 14673
11,/s/AMD+EPYC+7552+48-Core,AMD EPYC 7552 48-Core,99th,11,227882 +/- 2936
12,/s/AMD+EPYC+7642+48-Core,AMD EPYC 7642 48-Core,99th,19,223769 +/- 17596
13,/s/2+x+AMD+EPYC+7343+16-Core,2 x AMD EPYC 7343 16-Core,98th,6,205287 +/- 1426
14,/s/Intel+Xeon+Platinum+8380,Intel Xeon Platinum 8380,98th,9,201308 +/- 432
15,/s/ARMv8+Neoverse-N1+64-Core,ARMv8 Neoverse-N1 64-Core,97th,7,185312 +/- 7580
16,/s/AMD+Ryzen+Threadripper+3990X+64-Core,AMD Ryzen Threadripper 3990X 64-Core,97th,11,179399 +/- 10304
17,/s/2+x+Intel+Xeon+Gold+6152,2 x Intel Xeon Gold 6152,97th,6,176748 +/- 7307
18,/s/AMD+EPYC+7542+32-Core,AMD EPYC 7542 32-Core,97th,10,176573 +/- 1576
19,/s/AMD+EPYC+7502P+32-Core,AMD EPYC 7502P 32-Core,97th,13,170834 +/- 1398
20,/s/AMD+EPYC+7532+32-Core,AMD EPYC 7532 32-Core,96th,11,169514 +/- 2189
21,/s/AMD+EPYC+7502+32-Core,AMD EPYC 7502 32-Core,96th,13,169295 +/- 2213
22,/s/POWER9+44-Core,POWER9 44-Core,96th,13,165140 +/- 6925
23,/s/AMD+EPYC+7452+32-Core,AMD EPYC 7452 32-Core,96th,7,159462 +/- 1041
24,/s/POWER9+altivec+supported+44-Core,POWER9 altivec supported 44-Core,95th,7,156289 +/- 6619
25,/s/AMD+EPYC+7J13+64-Core,AMD EPYC 7J13 64-Core,95th,55,155226 +/- 12939
26,/s/AMD+EPYC+7F72+24-Core,AMD EPYC 7F72 24-Core,95th,9,150631 +/- 1370
27,/s/2+x+Intel+Xeon+Gold+5220R,2 x Intel Xeon Gold 5220R,94th,10,145278 +/- 2461
28,/s/2+x+Intel+Xeon+Gold+6140,2 x Intel Xeon Gold 6140,94th,13,143676 +/- 13125
29,/s/2+x+Intel+Xeon+Gold+6230,2 x Intel Xeon Gold 6230,94th,14,142432 +/- 17033
30,/s/AMD+EPYC+7402+24-Core,AMD EPYC 7402 24-Core,94th,9,139897 +/- 2497
31,/s/Intel+Xeon+Platinum+8280,Intel Xeon Platinum 8280,94th,12,137907 +/- 2835
32,/s/AMD+EPYC+7402P+24-Core,AMD EPYC 7402P 24-Core,93rd,18,133382 +/- 9155
